[06:36:08] [main/INFO]: ModLauncher running: args [--username, iREINA_MK1216, --version, forge-47.3.0, --gameDir, C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー, --assetsDir, C:\Users\masor\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, c1d2d7a6225b4bf58e2e73167b2d385a, --accessToken, ????????, --clientId, MmRlNDU4MzMtNGYwZC00YjAwLTgzMGUtNDNlMDU1M2QxNmFh, --xuid, 2535464266863928, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\masor\curseforge\minecraft\Install\quickPlay\java\1740519366630.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[06:36:08] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[06:36:09] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[06:36:09] [main/INFO]: Trying GL version 4.6
[06:36:09] [main/INFO]: Requested GL version 4.6 got version 4.6
[06:36:09] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[06:36:09] [main/INFO]: crimes against java were committed
[06:36:09] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[06:36:09] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/masor/curseforge/minecraft/Instances/広大で強大なファンタジー世界_サーバー/mods/Connector-1.0.0-beta.46+1.20.1.jar%23376%23379!/ Service=ModLauncher Env=CLIENT
[06:36:09] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3060 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 572.42, NVIDIA Corporation
[06:36:10] [main/INFO]: Found mod file crittersandcompanions-forge-2.2.2.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file cullleaves-forge-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file curios-forge-5.12.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file displaydelight-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file DistantHorizons-2.2.1-a-1.20.1-forge-fabric.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dragonseeker-1.2.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file drinkbeer-refill-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Dungeon Now Loading-forge-1.20.1-1.5.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dungeons_and_combat-1.1.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dungeons_enhanced-1.20.1-5.3.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dungeons_plus-1.20.1-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file DungeonsAriseSevenSeas-1.20.x-1.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dynamic-fps-3.8.0+minecraft-1.20.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file dynview-1.20.1-4.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file eatinganimation-1.20.1-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file ec_aquamirae_plugin-1.20.1-1.0.1-all.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file efallingtrees-0.6.0-1.20+forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file elytratrims-forge-3.5.7+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file embeddiumplus-1.20.1-v1.2.13.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file endrem_forge-5.3.3-R-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file entityculling-forge-1.7.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file epicterrain-0.1.3.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file epicterrain-0.1.4-Beta-1.20~1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file expanded_combat-1.20.1-3.2.4-all.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file expanded_ecosphere-3.2.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Explorify v1.6.2 f10-48.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file explosiveenhancement-1.1.0-1.20.1-client-and-server.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file extrasounds-1.20.1-forge-1.3.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file fabric-api-0.92.2+1.11.11+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file firstperson-forge-2.4.8-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file FpsReducer2-forge-1.20-2.5.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file fzzy_config-0.6.4+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Geophilic v3.2 f15-61.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file gml-4.0.9-all.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file GPUTape-1.18x-1.21x-1.0.5.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Hammered-forge-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file hexerei-0.4.2.2.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file hookshot-1.20.1-1.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file ice_and_fire_spellbooks-2.3.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file iceandfire-2.1.13-1.20.1-beta-5.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file iceandfirebettercombat.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.25.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.3.4+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file immersivelanterns-forge-1.0.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file ImmersiveUI-FORGE-0.3.0.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Incendium_1.20.x_v5.3.5.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file irons_spellbooks-1.20.1-3.4.0.7.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.12.3.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
[06:36:10] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.106.jar of type MOD with provider {mods folder locator at C:\Users\masor\curseforge\minecraft\Instances\広大で強大なファンタジー世界_サーバー\mods}
